Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1000,DataAnalyticsCourse,104.0,4498.0,231.88,14.0,7.0,6.730769230769231,1892.0,2024-11-16,Hyderabad,desktop,learn data analytics
A1003,Data Analytcis Course,142.0,3185.0,237.66,17.0,6.0,4.225352112676056,1225.0,2024-11-26,Hyderabad,tablet,data anaytics training
A1004,Data Analytics Corse,156.0,3361.0,195.9,30.0,8.0,5.128205128205128,1091.0,2024-11-22,Hyderabad,desktop,online data analytic
A1014,Data Analytcis Course,181.0,4311.0,185.09,11.0,9.0,4.972375690607735,1538.0,2024-11-04,Hyderabad,Desktop,data anaytics training
A1015,Data Analytcis Course,102.0,5461.0,201.69,22.0,8.0,7.8431372549019605,1755.0,2024-11-29,Hyderabad,desktop,data analytics course
A1016,Data Analytcis Course,193.0,5159.0,215.57,15.0,9.0,4.66321243523316,1614.0,2024-11-10,Hyderabad,Mobile,learn data analytics
A1019,Data Analytcis Course,145.0,5278.0,215.57,25.0,6.0,4.137931034482759,1516.0,2024-11-05,Hyderabad,DESKTOP,data analytics course
A1022,Data Analytcis Course,122.0,5187.0,211.24,27.0,6.0,4.918032786885246,1322.0,2024-11-20,Hyderabad,Desktop,online data analytic
A1025,DataAnalyticsCourse,88.0,3349.0,181.92,22.0,8.0,9.090909090909092,1456.0,2024-11-20,Hyderabad,Tablet,learn data analytics
A1026,Data Anlytics Corse,119.0,5323.0,205.92,17.0,10.0,8.403361344537815,1656.0,2024-11-02,Hyderabad,desktop,online data analytic
A1027,Data Analytics Corse,140.0,5286.0,234.89,22.0,10.0,7.142857142857142,1688.0,2024-11-21,Hyderabad,DESKTOP,data anaytics training
A1028,Data Anlytics Corse,128.0,5469.0,188.49,16.0,3.0,2.34375,1783.0,2024-11-23,Hyderabad,MOBILE,learn data analytics
A1030,Data Analytics Corse,188.0,4834.0,213.58,15.0,4.0,2.127659574468085,1590.0,2024-11-08,Hyderabad,TABLET,online data analytic
A1034,Data Analytcis Course,121.0,5610.0,214.96,23.0,8.0,6.6115702479338845,1505.0,2024-11-25,Hyderabad,Mobile,data analytics course
A1036,Data Anlytics Corse,146.0,5939.0,242.9,11.0,8.0,5.47945205479452,1833.0,2024-11-07,Hyderabad,Desktop,data anaytics training
A1039,Data Analytcis Course,171.0,4304.0,192.61,17.0,10.0,5.847953216374268,1427.0,2024-11-26,Hyderabad,Mobile,learn data analytics
A1041,Data Analytics Corse,112.0,4271.0,196.07,27.0,6.0,5.357142857142857,1209.0,2024-11-14,Hyderabad,desktop,data analitics online
A1047,Data Analytics Corse,142.0,5103.0,234.1,24.0,3.0,2.112676056338028,1835.0,2024-11-08,Hyderabad,mobile,analytics for data
A1048,Data Analytcis Course,168.0,4653.0,240.84,27.0,9.0,5.357142857142857,1367.0,2024-11-24,Hyderabad,Mobile,online data analytic
A1051,Data Analytics Corse,101.0,3942.0,206.62,16.0,5.0,4.9504950495049505,1746.0,2024-11-24,Hyderabad,Tablet,analytics for data
A1052,Data Analytics Corse,157.0,3315.0,189.56,15.0,10.0,6.369426751592357,1026.0,2024-11-25,Hyderabad,MOBILE,online data analytic
A1055,Data Analytcis Course,125.0,4223.0,183.68,15.0,6.0,4.8,1267.0,2024-11-05,Hyderabad,DESKTOP,data analitics online
A1057,Data Anlytics Corse,194.0,5655.0,208.58,13.0,6.0,3.0927835051546393,1692.0,2024-11-16,Hyderabad,mobile,data anaytics training
A1059,Data Analytics Corse,179.0,3025.0,238.81,17.0,3.0,1.675977653631285,1505.0,2024-11-11,Hyderabad,mobile,data analitics online
A1065,Data Analytics Corse,99.0,4489.0,183.73,15.0,6.0,6.0606060606060606,1264.0,2024-11-05,Hyderabad,desktop,online data analytic
A1067,Data Analytcis Course,138.0,5751.0,199.11,26.0,9.0,6.521739130434782,1337.0,2024-11-10,Hyderabad,desktop,data analitics online
A1069,DataAnalyticsCourse,124.0,4942.0,240.59,18.0,3.0,2.4193548387096775,1922.0,2024-11-16,Hyderabad,DESKTOP,learn data analytics
A1071,Data Analytics Corse,180.0,3006.0,228.14,22.0,7.0,3.888888888888889,1556.0,2024-11-04,Hyderabad,TABLET,learn data analytics
A1072,DataAnalyticsCourse,133.0,3728.0,199.13,11.0,10.0,7.518796992481203,1505.0,2024-11-09,Hyderabad,Desktop,data analitics online
A1074,Data Analytics Corse,150.0,4621.0,246.3,15.0,6.0,4.0,1554.0,2024-11-09,Hyderabad,Desktop,data analitics online
A1077,Data Analytics Corse,99.0,4779.0,233.78,26.0,10.0,10.1010101010101,1086.0,2024-11-05,Hyderabad,DESKTOP,online data analytic
A1078,Data Anlytics Corse,86.0,5352.0,234.05,11.0,5.0,5.813953488372093,1364.0,2024-11-09,Hyderabad,TABLET,online data analytic
A1079,Data Analytcis Course,118.0,5405.0,187.28,25.0,7.0,5.932203389830509,1836.0,2024-11-05,Hyderabad,TABLET,analytics for data
A1084,DataAnalyticsCourse,112.0,5814.0,227.38,11.0,8.0,7.142857142857142,1467.0,2024-11-03,Hyderabad,Tablet,analytics for data
A1085,DataAnalyticsCourse,123.0,3292.0,233.2,28.0,6.0,4.878048780487805,1174.0,2024-11-19,Hyderabad,Desktop,data anaytics training
